iter	Passed	Remaining
0	4	864
1	7	721
2	10	683
3	13	650
4	17	674
5	21	680
6	23	658
7	26	642
8	29	633
9	33	636
10	36	626
11	38	610
12	41	598
13	44	591
14	47	583
15	51	587
16	53	580
17	56	575
18	59	571
19	63	568
20	66	569
21	69	563
22	72	558
23	75	555
24	79	555
25	82	553
26	85	549
27	88	544
28	92	545
29	96	544
30	98	538
31	101	532
32	104	526
33	107	523
34	110	520
35	113	518
36	116	515
37	120	512
38	123	509
39	126	506
40	130	504
41	133	500
42	136	499
43	139	495
44	143	495
45	146	491
46	150	489
47	153	486
48	156	483
49	160	481
50	163	477
51	166	473
52	169	469
53	172	466
54	175	463
55	178	459
56	181	454
57	183	450
58	187	447
59	190	444
60	193	440
61	196	436
62	198	432
63	201	428
64	204	425
65	208	422
66	211	419
67	214	416
68	217	412
69	220	410
70	224	407
71	227	403
72	229	399
73	232	395
74	236	393
75	239	390
76	242	387
77	245	383
78	248	380
79	251	377
80	254	373
81	257	371
82	261	368
83	264	364
84	267	362
85	270	359
86	273	355
87	276	351
88	278	347
89	282	345
90	285	341
91	287	337
92	290	333
93	293	330
94	296	327
95	300	325
96	302	321
97	305	317
98	308	314
99	310	310
100	314	308
101	317	305
102	321	302
103	324	299
104	327	296
105	331	293
106	334	290
107	338	287
108	341	284
109	345	282
110	348	279
111	350	275
112	353	271
113	356	268
114	359	265
115	362	262
116	365	259
117	367	255
118	370	252
119	373	249
120	376	245
121	379	242
122	381	238
123	384	235
124	387	232
125	389	229
126	393	225
127	395	222
128	398	219
129	401	215
130	403	212
131	407	209
132	410	206
133	412	203
134	415	200
135	419	197
136	422	194
137	425	191
138	427	187
139	430	184
140	433	181
141	435	178
142	438	174
143	441	171
144	444	168
145	447	165
146	450	162
147	454	159
148	456	156
149	459	153
150	462	150
151	465	146
152	469	144
153	471	140
154	474	137
155	477	134
156	481	131
157	485	128
158	488	126
159	491	122
160	494	119
161	497	116
162	501	113
163	504	110
164	507	107
165	510	104
166	513	101
167	517	98
168	519	95
169	523	92
170	526	89
171	529	86
172	532	83
173	536	80
174	539	77
175	542	74
176	546	70
177	549	67
178	552	64
179	555	61
180	558	58
181	562	55
182	565	52
183	568	49
184	571	46
185	575	43
186	579	40
187	583	37
188	586	34
189	589	31
190	594	27
191	597	24
192	601	21
193	605	18
194	609	15
195	613	12
196	616	9
197	620	6
198	624	3
199	627	0
